"Row","FIPS","GENC","Country/Area Name","Year","Population","Annual Growth Rate %","Area (sq km)","Density (per sq km)","Total Fertility Rate","Life Expectancy at Birth","Under-5 Mortality Rate"
"1","AF","AF","Afghanistan","2020","36594776","2.366","652230","56.1","4.82","52.84","159.98"
"2","AM","AM","Armenia","2020","3021483","-0.309","28203","107.1","1.6467","75.59","14.45"
"3","AJ","AZ","Azerbaijan","2020","10207465","0.751","82629","123.5","1.8764","73.61","27.44"
"4","BA","BH","Bahrain","2020","1504665","2.044","760","1979.8","1.6893","79.45","12.79"
"5","BG","BD","Bangladesh","2020","162532538","0.968","130170","1248.6","2.11","74.16","39.41"
"6","BT","BT","Bhutan","2020","848893","1.011","38394","22.1","1.82","71.07","49.92"
"7","BX","BN","Brunei","2020","464145","1.499","5265","88.2","1.75","77.89","12.66"
"8","BM","MM","Burma","2020","56599075","0.841","653508","86.6","2.07","69.33","43.08"
"9","CB","KH","Cambodia","2020","17070744","1.379","176515","96.7","2.39","65.93","69.53"
"10","CH","CN","China","2020","1394015977","0.295","9326410","149.5","1.6","76.05","13.72"
"11","CY","CY","Cyprus","2020","1267376","1.166","9241","137.1","1.4761","79.27","10.03"
"12","GZ","XG","Gaza Strip","2020","1917031","2.081","360","5325.1","3.64","74.87","18.85"
"13","GG","GE","Georgia","2020","4930665","0.074","69700","70.7","1.7547","77","16.93"
"14","HK","HK","Hong Kong","2020","7248206","0.219","1073","6755.1","1.2105","83.22","3.55"
"15","IN","IN","India","2020","1325349639","1.06","2973193","445.8","2.3","69.71","55.3"
"16","ID","ID","Indonesia","2020","272856400","0.841","1811569","150.6","2.07","72.56","24.58"
"17","IR","IR","Iran","2020","84982541","1.088","1531595","55.5","1.9416","74.87","17.78"
"18","IZ","IQ","Iraq","2020","38828885","2.126","437367","88.8","3.39","72.62","24.62"
"19","IS","IL","Israel","2020","8659792","1.466","21497","402.8","2.59","82.96","4.48"
"20","JA","JP","Japan","2020","125135727","-0.348","364485","343.3","1.3677","84.47","2.61"
"21","JO","JO","Jordan","2020","10819966","0.831","88802","121.8","3.04","75.49","16.89"
"22","KZ","KZ","Kazakhstan","2020","19085226","0.863","2699700","7.1","2.16","71.97","22.57"
"23","KN","KP","Korea, North","2020","25701731","0.514","120408","213.5","1.92","71.54","28.11"
"24","KS","KR","Korea, South","2020","51577174","0.276","96920","532.2","1.08","82.58","3.56"
"25","KU","KW","Kuwait","2020","2995271","1.24","17818","168.1","2.2647","78.67","9.51"
"26","KG","KG","Kyrgyzstan","2020","5963777","0.94","191801","31.1","2.54","71.79","30.3"
"27","LA","LA","Laos","2020","7463435","1.488","230800","32.3","2.6133","65.66","68.49"
"28","LE","LB","Lebanon","2020","5463514","-8.058","10230","534.1","1.71","78.29","8.11"
"29","MC","MO","Macau","2020","625295","0.831","28","22332","1.2","84.63","5.5"
"30","MY","MY","Malaysia","2020","33164013","1.077","328657","100.9","1.7813","75.62","8.34"
"31","MV","MV","Maldives","2020","391104","-0.104","298","1312.4","1.71","76.43","35.08"
"32","MG","MN","Mongolia","2020","3168648","0.975","1553556","2","1.95","70.79","25.26"
"33","NP","NP","Nepal","2020","30175326","0.839","143351","210.5","1.96","71.83","32.62"
"34","MU","OM","Oman","2020","3624823","1.933","309500","11.7","2.7622","76.37","20.06"
"35","PK","PK","Pakistan","2020","233431156","2.036","770875","302.8","3.6035","69.06","72.33"
"36","RP","PH","Philippines","2020","109168180","1.508","298170","366.1","2.92","70.03","26.7"
"37","QA","QA","Qatar","2020","2447179","1.44","11586","211.2","1.9043","79.34","9.76"
"38","SA","SA","Saudi Arabia","2020","34223743","1.624","2149690","15.9","1.9857","76.15","14.75"
"39","SN","SG","Singapore","2020","5810285","0.967","709","8195","1.14","86.03","1.98"
"40","CE","LK","Sri Lanka","2020","22895756","0.659","64630","354.3","2.0119","77.51","10.28"
"41","SY","SY","Syria","2020","19392460","4.634","185887","104.3","2.9","73.74","19.16"
"42","TW","TW","Taiwan","2020","23563036","0.039","32260","730.4","1.0603","80.73","4.89"
"43","TI","TJ","Tajikistan","2020","8860396","1.484","141510","62.6","2.51","68.76","47.24"
"44","TH","TH","Thailand","2020","69291926","0.287","510890","135.6","1.5353","77.16","9.01"
"45","TT","TL","Timor-Leste","2020","1382948","2.241","14874","93","4.44","69.33","44.73"
"46","TU","TR","Turkey","2020","82009212","0.453","769632","106.6","1.96","75.7","23.41"
"47","TX","TM","Turkmenistan","2020","5522684","1.044","469930","11.8","2.04","71.25","48.06"
"48","AE","AE","United Arab Emirates","2020","9792173","0.694","83600","117.1","1.6645","79.17","5.77"
"49","UZ","UZ","Uzbekistan","2020","30575754","0.88","425400","71.9","1.736","74.76","24.21"
"50","VM","VN","Vietnam","2020","101745119","1.04","310070","328.1","2.0774","74.98","19.92"
"51","WE","XW","West Bank","2020","2898556","1.746","5640","513.9","3.07","75.87","19.06"
"52","YM","YE","Yemen","2020","29810956","1.977","527968","56.5","3.2","66.85","64.8"
