"Row","FIPS","GENC","Country/Area Name","Year","Population","Annual Growth Rate %","Area (sq km)","Density (per sq km)","Total Fertility Rate","Life Expectancy at Birth","Under-5 Mortality Rate"
"1","AL","AL","Albania","2020","3080930","0.248","27398","112.5","1.5288","78.99","13.34"
"2","AN","AD","Andorra","2020","85722","-0.084","468","183.2","1.4293","83.03","4.27"
"3","AU","AT","Austria","2020","8856348","0.323","82445","107.4","1.4929","81.86","3.98"
"4","BO","BY","Belarus","2020","9468822","-0.278","202900","46.7","1.4997","73.74","5.31"
"5","BE","BE","Belgium","2020","11708235","0.612","30278","386.7","1.7734","81.44","4.04"
"6","BK","BA","Bosnia and Herzegovina","2020","3832751","-0.204","51187","74.9","1.3357","77.5","6.19"
"7","BU","BG","Bulgaria","2020","6965462","-0.667","108489","64.2","1.4859","75.04","9.75"
"8","HR","HR","Croatia","2020","4229585","-0.493","55974","75.6","1.4281","76.72","10.95"
"9","EZ","CZ","Czechia","2020","10698037","0.05","77247","138.5","1.477","79.27","3.04"
"10","DA","DK","Denmark","2020","5868927","0.435","42434","138.3","1.777","81.24","3.69"
"11","EN","EE","Estonia","2020","1228296","-0.661","42388","29","1.608","77.39","4.2"
"12","FO","FO","Faroe Islands","2020","51624","0.612","1393","37.1","2.313","80.83","7.85"
"13","FI","FI","Finland","2020","5572355","0.279","303815","18.3","1.7427","81.33","2.63"
"14","FR","FR","France","2020","67858873","0.333","640427","106","2.0552","82.18","4.29"
"15","GM","DE","Germany","2020","80069820","-0.207","348672","229.6","1.4732","81.08","3.99"
"16","GI","GI","Gibraltar","2020","29459","0.193","7","4208.4","1.9202","79.98","7.63"
"17","GR","GR","Greece","2020","10604841","-0.327","130647","81.2","1.3804","81.07","4.27"
"18","GK","GG","Guernsey","2020","67173","0.243","78","861.2","1.5738","82.84","4.01"
"19","HU","HU","Hungary","2020","9756400","-0.284","89608","108.9","1.4662","76.7","5.64"
"20","IC","IS","Iceland","2020","350773","0.999","100250","3.5","1.97","83.26","2.62"
"21","EI","IE","Ireland","2020","5173463","1.007","68883","75.1","1.9385","81.23","4.18"
"22","IM","IM","Isle of Man","2020","90381","0.583","572","158","1.9035","81.63","5.16"
"23","IT","IT","Italy","2020","62335424","0.089","294140","211.9","1.4652","82.47","3.78"
"24","JE","JE","Jersey","2020","100782","0.701","116","868.8","1.6536","82.22","4.69"
"25","KV","XK","Kosovo","2020","1922449","0.659","10887","176.6","1.9477","72.71","44.22"
"26","LG","LV","Latvia","2020","1883186","-1.09","62249","30.3","1.5311","75.39","6.27"
"27","LS","LI","Liechtenstein","2020","39137","0.738","160","244.6","1.6903","82.16","5.03"
"28","LH","LT","Lithuania","2020","2739816","-1.035","62680","43.7","1.6028","75.43","4.38"
"29","LU","LU","Luxembourg","2020","628615","1.761","2586","243.1","1.624","82.58","3.81"
"30","MT","MT","Malta","2020","457270","0.826","316","1447.1","1.4916","82.81","5.95"
"31","MD","MD","Moldova","2020","3360212","-1.079","32891","102.2","1.5796","71.88","13.9"
"32","MN","MC","Monaco","2020","31066","0.473","2","15533","1.5162","89.27","2.02"
"33","MJ","ME","Montenegro","2020","609786","-0.383","13452","45.3","1.8193","77.26","3.72"
"34","NL","NL","Netherlands","2020","17274001","0.366","33893","509.7","1.7741","81.74","4.17"
"35","MK","MK","North Macedonia","2020","2125463","0.134","25433","83.6","1.4995","76.33","8.74"
"36","NO","NO","Norway","2020","5465387","0.807","304282","18","1.841","82.14","2.92"
"37","PL","PL","Poland","2020","38270292","-0.21","304255","125.8","1.3802","78.29","5.01"
"38","PO","PT","Portugal","2020","10288283","-0.25","91470","112.5","1.4061","81.08","3.15"
"39","RO","RO","Romania","2020","21310245","-0.371","229891","92.7","1.3756","76.05","11.33"
"40","RS","RU","Russia","2020","142588206","-0.176","16377742","8.7","1.6009","71.88","8.33"
"41","SM","SM","San Marino","2020","34247","0.654","61","561.4","1.5137","83.49","7.39"
"42","RI","RS","Serbia","2020","7007664","-0.48","77474","90.5","1.4625","76.31","6.65"
"43","LO","SK","Slovakia","2020","5439808","-0.059","48105","113.1","1.4378","77.83","5.98"
"44","SI","SI","Slovenia","2020","2102452","-0.003","20151","104.3","1.5877","81.4","2.01"
"45","SP","ES","Spain","2020","47272945","-0.018","498980","94.7","1.5089","82","3.84"
"46","SW","SE","Sweden","2020","10185555","0.749","410335","24.8","1.8633","82.4","2.98"
"47","SZ","CH","Switzerland","2020","8398489","0.655","39997","210","1.5707","82.83","4.44"
"48","UP","UA","Ukraine","2020","43903662","-0.228","579330","75.8","1.5515","72.9","9.07"
"49","UK","GB","United Kingdom","2020","65731269","0.49","241930","271.7","1.8641","81.09","5.13"
