"Row","FIPS","GENC","Country/Area Name","Year","Population","Annual Growth Rate %","Area (sq km)","Density (per sq km)","Total Fertility Rate","Life Expectancy at Birth","Under-5 Mortality Rate"
"1","AQ","AS","American Samoa","2020","47392","-2.277","198","239.4","2.35","74.79","13.2"
"2","AS","AU","Australia","2020","25467706","1.365","7682300","3.3","1.7364","82.69","3.74"
"3","CW","CK","Cook Islands","2020","8539","-2.553","236","36.2","2.12","76.64","20.13"
"4","FJ","FJ","Fiji","2020","935139","0.481","18274","51.2","2.31","73.73","17.74"
"5","FP","PF","French Polynesia","2020","294891","0.777","3827","77.1","1.83","77.94","13.02"
"6","GQ","GU","Guam","2020","168489","0.192","544","309.7","2.84","77","13.36"
"7","KR","KI","Kiribati","2020","111814","1.06","811","137.9","2.25","67.27","44.59"
"8","RM","MH","Marshall Islands","2020","77741","1.412","181","429.5","2.86","74.11","27.75"
"9","FM","FM","Micronesia, Federated States of","2020","102320","-0.62","702","145.8","2.29","73.9","28.08"
"10","NR","NR","Nauru","2020","9728","0.432","21","463.2","2.68","67.3","10.77"
"11","NC","NC","New Caledonia","2020","290033","1.235","18275","15.9","1.88","78.35","9.35"
"12","NZ","NZ","New Zealand","2020","4925334","1.387","264537","18.6","1.8733","82.13","4.28"
"13","CQ","MP","Northern Mariana Islands","2020","51851","-0.378","472","109.9","2.694","76.07","15"
"14","PS","PW","Palau","2020","21532","0.367","459","46.9","1.7","74.11","14.23"
"15","PP","PG","Papua New Guinea","2020","7280577","1.637","452860","16.1","2.84","69.57","52.32"
"16","WS","WS","Samoa","2020","203662","0.596","2821","72.2","2.4995","74.68","23.69"
"17","BP","SB","Solomon Islands","2020","678494","1.784","27986","24.2","2.97","76.19","26.85"
"18","TN","TO","Tonga","2020","106010","-0.202","717","147.9","2.87","77.04","15.18"
"19","TV","TV","Tuvalu","2020","11350","0.863","26","436.5","2.88","67.76","49.61"
"20","NH","VU","Vanuatu","2020","297953","1.7","12189","24.4","2.79","74.61","17.61"
"21","WF","WF","Wallis and Futuna","2020","15809","0.278","142","111.3","1.7133","80.23","4.6"
