id	location	breed	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
8236	central_asia	Village Dog Afghanistan	-0.0168173	-0.00319148	-0.0453588	-0.0306575	0.0190093	0.0270263	0.0470798	-0.00526693	-0.0353684	0.00527456	0.0129689	0.0309588	0.0320144	0.00852163	0.0419278	0.0185145	-0.0270564	-0.0233845	0.0151725	0.0200204
8237	central_asia	Village Dog Afghanistan	-0.0316489	-0.0127219	-0.0564082	-0.0316189	0.0248122	-8.04882e-4	0.061637	-0.0170411	-0.0428001	-1.27041e-4	0.0119033	0.0391032	0.0289387	8.17924e-4	0.0548405	0.0325413	-0.0267571	7.59674e-4	0.00718408	0.018294500000000002
8256	central_asia	Village Dog Afghanistan	-0.0243135	-0.00962126	-0.053377	-0.0228129	0.00884531	-0.00494099	0.0523981	-0.0199029	-0.0350767	0.0160978	0.00468768	0.0291592	0.0279513	-0.0141574	0.0503157	0.0401718	-0.0093085	-0.00342999	0.0162678	0.00895165
8257	central_asia	Village Dog Afghanistan	-0.0106627	-0.00582185	-0.0470548	-0.030669	0.0214915	0.0138628	0.0375308	-0.0120544	-0.0258142	0.0215643	0.00660178	0.0242681	0.0200502	-0.00324322	0.0444522	0.0444612	-0.00882238	0.00362731	-0.00726064	0.00762397
8263	central_asia	Village Dog Afghanistan	-0.0325327	-0.0141069	-0.0609418	-0.0324471	0.0187336	-0.00747492	0.0914534	-0.0169889	-0.0713586	0.00941964	-0.00251904	0.0671148	0.0365985	0.00482	0.117991	0.0685882	-0.0168408	-0.0088921	0.0516929	-0.0732653
8264	central_asia	Village Dog Afghanistan	-0.0300418	-0.0118687	-0.0562935	-0.0325925	0.0204618	-0.00708098	0.0881194	-0.0247053	-0.065919	0.00943119	-0.00941551	0.0636697	0.0441318	0.00548552	0.11015	0.0764685	-0.0102354	-0.00826223	0.0489934	-0.0750185
8267	central_asia	Village Dog Afghanistan	-0.0148704	-0.00503548	-0.047178200000000003	-0.0211927	0.0134812	0.00947428	0.0370263	-0.00995123	-0.0218141	0.012404	0.00422019	0.026063	0.0123112	-0.00710326	0.0370967	0.032918	-0.0275221	0.00312579	-0.00910736	-0.0147065
8316	central_asia	Village Dog Afghanistan	-0.0170077	-0.00205049	-0.0413135	-0.0288474	0.0125184	0.00841628	0.0398701	-0.00672302	-0.0446813	-0.00116444	-2.24893e-4	0.0340424	0.0153138	0.00831349	0.0485476	0.0199618	-0.0206915	0.00851543	-0.00111031	-0.00636405
8317	central_asia	Village Dog Afghanistan	-0.0351346	-0.0222854	-0.0710583	0.00764748	-0.00583528	-0.00675108	0.0060443	-0.0103248	-0.0173261	-0.00606549	-0.00994024	0.0180144	0.0042072	-1.53608e-5	0.0124683	0.0146484	-0.017422	0.00229102	0.00295335	-0.0142247
PFZ25B01	central_asia	Village Dog Afghanistan	-0.0315471	-0.0112847	-0.0580149	-0.0282122	0.0175127	-0.00965602	0.0645123	-0.0204892	-0.0528428	0.0223167	0.0191064	0.055504	0.0194146	-0.00953713	0.0959168	0.0630611	-3.98499e-5	0.0367225	0.0195488	-0.0519373
PFZ25C08	central_asia	Village Dog Afghanistan	-0.0239502	-0.0130063	-0.0543268	-0.0259595	0.0125145	-0.0123149	0.053389	-0.0111399	-0.0320297	0.00446544	0.00594001	0.0395344	0.0184194	-0.00496023	0.0580564	0.0434625	-0.00190317	0.00920733	0.00877015	-0.00365335
8451	central_asia	Village Dog Afghanistan	-0.0284737	-0.00899165	-0.0491715	-0.0297673	0.013769	-0.00297448	0.0550931	-0.0253759	-0.0389182	0.00378625	-0.0125789	0.033489	0.00938191	0.00243203	0.0481956	0.0402215	-0.0107508	0.0104041	-0.00595196	0.0104852
8868	central_asia	Village Dog Afghanistan	-0.00953445	-0.00338256	-0.042558	-0.0338354	0.0302416	0.0248465	0.040678	0.00507365	-0.0205235	0.0140446	1.65223e-5	0.0250913	0.0133581	-0.0220948	0.0387317	0.0223847	-0.0126325	0.0114968	-0.00401117	9.70232e-4
8234	americas	Village Dog Belize	0.036805	0.0137613	-0.00223418	-0.00554004	-0.00199168	0.0132682	-0.0071221	-0.0123078	0.00967125	1.59558e-4	0.00462736	-0.00975866	0.0186483	0.00313515	0.0125735	-0.00548663	0.0512876	-7.18276e-4	0.00264219	-3.45947e-4
8235	americas	Village Dog Belize	0.0366391	0.0140351	0.00158222	0.0245525	-0.025164	0.0103156	0.00688866	-0.0367917	5.58917e-4	-0.00826989	-0.0114163	0.00637803	8.46403e-5	0.0096982	0.00924284	0.00145596	0.0136517	-0.0473723	0.0192647	-0.00298655
8232	americas	Village Dog Belize	0.0390699	0.0134353	0.00487643	0.0390594	-0.0419043	-0.023962	0.0128204	-0.04291	-0.0209273	-0.0215697	-0.0359894	-0.00979837	-0.0160408	-4.88548e-4	-0.00801783	0.00550118	-0.0290291	-0.00219469	0.0231347	-0.0102313
