# Morphometrics of BIO2150 students 2012-2016 grouped by sex (male/female = M/F) and year
#
#   body.length    : Total body length (cm)
#   foot.navel     : Distance from floor to head crown (cm)
#   navel.crown    : Distance from navel to head crown (cm)
#   outspread.arms : Distance from finger tip to finger tip with outspread arms (cm)
#   underarm       : Distance from elbow to wrist (cm)									
#   underarm.hand  : Distance from elbow to middle finger tip (cm)
#   foot.length    : Distance from heel to big toe tip (cm)									
#   neck.size      : Circumference of neck (cm)
#
# Data compiled by Halvor Aarnes, with some obvious miscodings replaced by NAs by Tom Andersen
#								
sex	body.length	foot.navel	navel.crown	outspread.arms	underarm	underarm.hand	foot.length	neck.size 	year
M	189	119	70	196	29	52	29	39	2016
M	192	118	74	202	31	53	30	40	2016
M	185	115	70	195	29	50	29	40	2016
F	168	103	65	168	25	44	23	31	2016
M	187	114	73	190	30.5	48	26	37.5	2016
M	190	116	74	186	31.5	49	27	39	2016
F	175	110	65	178	28	45	24.5	35.5	2016
F	178.5	111	67.5	183.5	27	46.5	25	37	2016
F	157	98	58	157	25.5	37	22.5	30.5	2016
F	164	101	63	162.5	25.5	40	24	31	2016
M	181	110	71	182	29	48	28	37	2016
F	158	106	52	160.5	24	42	23	32	2016
F	157	91	65	153	23	40.5	23	40.8	2016
F	157	95	62	155	23	42	23	33	2016
F	167	100	67	167	25	45	24	36	2016
F	162	96	66	161	24	40	24	35	2016
F	169	103	66	165.5	25	43	25.5	35	2016
F	161.5	100	61.5	164.5	26	43	23.5	34	2016
F	188	123	65	191	29	48	26.5	31	2016
F	170	103	67	167	26.5	43	25	31	2016
F	170	105	65	164	25.5	42.5	24.5	32	2016
F	173	104	69	169	26.5	44.5	25	32.5	2016
F	173.5	105	67	169.5	26.5	45	25	33	2016
F	160.5	98	62	164.5	25	42.5	24.5	31.5	2016
F	152	92	63.5	159	24	33	21	34	2016
F	160	95	65	157.5	24.5	42	24	37.5	2016
F	178	110	67	170	28	44	29	32	2016
F	165	98	62	158	24	41	23	31	2016
F	171	105	66	171.5	27	43.5	25.5	35.5	2016
F	155.2	90.5	64.7	158	24	41	23	35	2016
F	178.5	110	69	181	28.5	47	23	34.5	2016
F	164	100	64	162	27	42	23.5	35	2016
F	167.5	103.5	63.7	173.5	27	43.5	24	32.5	2016
F	161.3	96.1	65.2	158.8	24	41	23	34.4	2016
F	178	110	68	178	27	47	25	36.1	2016
F	152	89	65	155	23	39	21	32.5	2016
F	162	100	62	161.5	24	41	22	30	2016
M	180	109	71	180	27	46.5	25.5	35	2016
F	166	103	63	167	23	42	24	34	2016
M	176	110	67	184	28	47	25	40	2016
F	165	100	65	163	22.5	41	22	33	2016
M	185	114	75	184.5	28.5	48	27.5	37	2015
M	174	103	70.5	175	28	44	26	36	2015
M	182	108	74	186.4	20.4	50.5	27.8	43.1	2015
M	177	105	72	177	29.3	47.4	26.5	39.8	2015
F	174.5	104.5	70	175.5	26.4	46.1	25.5	30.5	2015
F	167.5	93	62	153.5	23	39	22.5	33	2015
F	167.5	101.5	64.5	165.5	25.5	42.5	24	32	2015
F	172.5	103	69.5	162.5	26.5	42	24	33	2015
F	163.5	100	63.5	158	25.5	43.5	23	33	2015
